,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Programa Educativo,Semestre ,Materia,TEMA  1,TEMA 2,TEMA  3,TEMA  4,TEMA  5,TEMA 6,TEMA 7,TEMA  8,
,INGENIERÍA INDUSTRIAL,2,ELECTRICIDAD Y ELECTRÓNICA INDUSTRIAL -1U2,1,2,3,3,,,,,
,INGENIERÍA INDUSTRIAL,4,PROCESOS DE FABRICACIÓN -1U4,1,2,3,3,3,3,,,
,INGENIERÍA INDUSTRIAL,6,TALLER DE INVESTIGACIÓN I -1U6,1,2,3,,,,,,
,INGENIERÍA INDUSTRIAL,8,FORMULACIÓN Y EVALUACIÓN  DE PROYECTOS -1U8,1,2,3,3,3,3,,,
,INGENIERÍA INDUSTRIAL,2,PROPIEDAD DE LOS MATERIALES -2U2,1,2,3,3,,,,,
,INGENIERÍA INDUSTRIAL,4,FÍSICA -2U4,1,2,3,3,3,,,,
,INGENIERÍA INDUSTRIAL,6,INGENERÍA ECONÓMICA -2U6,1,2,3,3,,,,,
,INGENIERÍA INDUSTRIAL,8,RELACIONES INDUSTRIALES -2U8,1,2,3,3,3,,,,
,INGENIERÍA INDUSTRIAL,1,CÁLCULO DIFERENCIAL -3U1,1,2,3,3,3,,,,
,INGENIERÍA INDUSTRIAL,2,CÁLCULO INTEGRAL -3U2,1,2,3,3,,,,,
,INGENIERÍA INDUSTRIAL,4,ALGORITMOS Y LENGUAJES DE PROGRAMACIÓN -3U4,1,2,3,3,3,3,,,
,INGENIERÍA INDUSTRIAL,6,ADMINISTRACIÓN DE LAS OPERACIONES II -3U6,1,2,3,,,,,,
,INGENIERÍA INDUSTRIAL,4,INVESTIGACIÓN DE OPERACIONES I -4U4,1,2,3,3,,,,,
,INGENIERÍA INDUSTRIAL,6,SIMULACIÓN -4U6,1,2,3,3,3,3,,,
,INGENIERÍA INDUSTRIAL,2,PROBABILIDAD Y ESTADÍSTICA -5U2,1,2,3,3,3,3,,,
,INGENIERÍA INDUSTRIAL,4,ESTADÍSTICA INFERENCIAL II -5U4,1,2,3,3,3,,,,
,INGENIERÍA INDUSTRIAL,6,ADMINISTRACIÓN DEL MANTENIMIENTO -5U6,1,2,3,3,3,,,,
,INGENIERÍA INDUSTRIAL,8,QUALITY CORTE TOOLS -66C,1,2,3,3,,,,,
,INGENIERÍA INDUSTRIAL,8,SISTEMAS DE GESTION DE LA CALIDAD APLICADA -66D,1,2,3,3,,,,,
,INGENIERÍA INDUSTRIAL,8,INNOVACION TECNOLOGICA -66E,1,2,3,3,,,,,
,INGENIERÍA INDUSTRIAL,8,SEGURIDAD Y SALUD EN ELTRABAJO -66F,1,2,3,3,,,,,
,INGENIERÍA INDUSTRIAL,2,ANÁLISIS DE LA REALIDAD NACIONAL -6U2,1,2,3,,,,,,
,INGENIERÍA INDUSTRIAL,4,ESTUDIO DEL TRABAJO II -6U4,1,2,3,3,,,,,
