PROGRAMA EDUCATIVO,NOMBRE DE LA ASIGNATURA,AREA DE CONOCIMIENTO
INGENIERÍA EN GESTIÓN EMPRESARIAL,ENTORNO DE LA INNOVACIÓN,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN GESTIÓN EMPRESARIAL,GESTIÓN DE LA PRODUCCIÓN I,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN GESTIÓN EMPRESARIAL,GESTIÓN ESTRATÉGICA,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN GESTIÓN EMPRESARIAL,HABILIDADES BLANDAS EN LA GESTIÓN DE TECNOLOGÍA,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN GESTIÓN EMPRESARIAL,LEGISLACIÓN LABORAL,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN GESTIÓN EMPRESARIAL,PLAN DE NEGOCIOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN GESTIÓN EMPRESARIAL,TRANSFERENCIA Y COMERCIALIZACIÓN DE TECNOLOGÍA,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN LOGÍSTICA,ADMINISTRACIÓN DE ALMACENES Y CENTROS DE DISTRIBUCIÓN,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN LOGÍSTICA,BASES DE DATOS,CIENCIAS BÁSICAS
INGENIERÍA EN LOGÍSTICA,CADENA DE SUMINISTRO,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN LOGÍSTICA,CÁLCULO INTEGRAL,CIENCIAS BÁSICAS
INGENIERÍA EN LOGÍSTICA,CULTURA DE CALIDAD ,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN LOGÍSTICA,DESARROLLO SUSTENTABLE,CIENCIAS SOCIALES Y HUMANIDADES
INGENIERÍA EN LOGÍSTICA,DIBUJO ASISTIDO POR COMPUTADORA,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN LOGÍSTICA,"EMPAQUE, ENVASE Y EMBALAJE",INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN LOGÍSTICA,ESTADISTICA INFERENCIAL I,CIENCIAS BÁSICAS
INGENIERÍA EN LOGÍSTICA,FINANZAS,CIENCIAS ECONÓMICO - ADMINISTRATIVAS
INGENIERÍA EN LOGÍSTICA,FUNDAMENTOS DE DERECHO,CIENCIAS SOCIALES Y HUMANIDADES
INGENIERÍA EN LOGÍSTICA,GESTIÓN DE PROYECTOS,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN LOGÍSTICA,HIGIENE Y SEGURIDAD,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN LOGÍSTICA,INGENIERÍA ECONÓMICA,CIENCIAS ECONÓMICO - ADMINISTRATIVAS
INGENIERÍA EN LOGÍSTICA,INNOVACIÓN,CIENCIAS DE LA INGENIERÍA
INGENIERÍA EN LOGÍSTICA,INVENTARIOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN LOGÍSTICA,INVESTIGACIÓN DE OPERACIONES II,CIENCIAS BÁSICAS
INGENIERÍA EN LOGÍSTICA,LEGISLACIÓN ADUANERA,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN LOGÍSTICA,MODELADO DE SISTEMAS LOGÍSTICOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN LOGÍSTICA,MODELOS DE SIMULACIÓN Y LOGÍSTICA,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN LOGÍSTICA,PLANEACIÓN Y DISEÑO DE REDES DE DISTRIBUCIÓN ,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN LOGÍSTICA,QUÍMICA,CIENCIAS BÁSICAS
INGENIERÍA EN LOGÍSTICA,SERVICIO AL CLIENTE,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERÍA EN LOGÍSTICA,TALLER DE INVESTIGACIÓN I,CIENCIAS SOCIALES Y HUMANIDADES
INGENIERÍA EN LOGÍSTICA,TÓPICOS DE INGENIERÍA MECÁNICA,CIENCIAS BÁSICAS
INGENIERÍA EN LOGÍSTICA,TRÁFICO Y TRANPORTE,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,ANÁLISIS DE SEÑALES Y SISTEMAS DE COMUNICACIÓN,CIENCIAS BÁSICAS
INGENIERIA EN TIC´S,ARQUITECTURA DE COMPUTADORAS,CIENCIAS DE LA INGENIERÍA
INGENIERIA EN TIC´S,AUDITORÍA EN TECNOLOGÍAS DE INFORMACIÓN,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,CÁLCULO INTEGRAL,CIENCIAS BÁSICAS
INGENIERIA EN TIC´S,CONTABILIDAD Y COSTOS,CIENCIAS ECONÓMICO - ADMINISTRATIVAS
INGENIERIA EN TIC´S,CRIPTOGRAFÍA Y PROTECCIÓN DE DATOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,DESARROLLO DE EMPRENDEDORES,CURSOS COMPLEMENTARIOS
INGENIERIA EN TIC´S,ELECTRICIDAD Y MAGNETISMO,CIENCIAS BÁSICAS
INGENIERIA EN TIC´S,FUNDAMENTOS DE REDES,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,HACKEO ÉTICO,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,HERRAMIENTAS PARA EL ANÁLISIS FORENSE,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,INGENIERÍA DE SOFTWARE,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,INGENIERÍA DEL CONOCIMIENTO,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,MATEMÁTICAS DISCRETAS II,CIENCIAS BÁSICAS
INGENIERIA EN TIC´S,MATEMÁTICAS PARA LA TOMA DE DECISIONES,CIENCIAS BÁSICAS
INGENIERIA EN TIC´S,NEGOCIOS ELECTRÓNICOS II,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,PROBABILIDAD Y ESTADÍSTICA,CIENCIAS BÁSICAS
INGENIERIA EN TIC´S,PROGRAMACIÓN II,CIENCIAS DE LA INGENIERÍA
INGENIERIA EN TIC´S,PROGRAMACIÓN ORIENTADA A OBJETOS,CIENCIAS DE LA INGENIERÍA
INGENIERIA EN TIC´S,PROGRAMACIÓN WEB,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,REDES EMERGENTES,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,SEGURIDAD EN LA NUBE PARA LOT,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,SISTEMAS OPERATIVOS II,CIENCIAS DE LA INGENIERÍA
INGENIERIA EN TIC´S,TALLER DE BASE DE DATOS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
INGENIERIA EN TIC´S,TALLER DE INVESTIGACIÓN I,CIENCIAS SOCIALES Y HUMANIDADES
INGENIERIA EN TIC´S,TECNOLOGÍAS INALÁMBRICAS,INGENIERÍA APLICADA Y DISEÑO EN INGENIERÍA
